movie_name,id,short_comment,score,comment_time,votes,Fake
这个杀手不太冷静,安短,没想到，这是唯一一部尊重春节档的电影。,4,2022-02-25 23:52:02,0,1
独行月球,宣纸画纸习题纸,能给负分吗卧槽 浪费我时间,1,2022-07-29 13:50:48,1206,1
这个杀手不太冷静,无常,太痛苦了 大过年一大早让我如坐针毡,1,2022-02-01 10:27:46,229,1
唐人街探案3,小药君,要不是电影院没开空调一直冻我 我能直接睡过去,2,2021-02-12 10:42:07,237,1
唐人街探案3,Meow_see good,低俗谄媚粗制滥造，连起码的诚意都没有，推理全靠奇情轶闻，笑点东拼西凑，初一起了个大早去看电影，刷抖音睡懒觉不香吗。为了长泽雅美，努力多挤了1星，滚蛋吧，还唐探宇宙，不要太膨胀，呕。,2,2021-02-12 10:40:33,20959,1
送你一朵小红花,又在说些,挺烂的,1,2021-01-01 10:16:55,250,1
花木兰,最烦装逼,这还可以啊，你们到底要看啥？,4,2021-12-07 17:43:31,30,1
一周的朋友,判官,麦麦太好看了，面对这么一个本子她还演得如此走心，以后不得了。,2,2022-06-20 13:43:20,38,1
盛夏未来,momo,继秘密访客后陈正道又一诈骗力作🤗,1,2021-07-30 11:53:27,858,1
一周的朋友,蔡徐坤亖我了,莫名其妙磕到了沈月和林一,4,2022-10-17 21:59:23,0,1
一周的朋友,夏小君,我是来看麦麦的，其他请随意。,3,2022-09-17 21:50:52,0,1
心灵奇旅,殿南,还是一般,1,21/10/2022 3:02,0,1
一周的朋友,宇宙探险家,颜狗的天堂,5,2022-09-12 11:00:30,0,1
一周的朋友,拉拉祜是好孩子,我为大家看烂片2022-018：我有一种强迫症，无论多烂的片，一旦点开了，就必须看完，哪怕两倍速。。。唉，自作孽啊。,2,2022-08-08 23:52:52,23,1
一周的朋友,橘子汽水,林一是真的帅︕,4,2022-06-21 15:29:52,0,1
唐人街探案3,scofieldd,全片充斥着陈思诚自以为是的小聪明和优越感，他自以为比世界上99%的人都要聪明，其实他根本什么都不懂,2,2021-02-12 12:17:35,1103,1
一点就到家,小猩崛起,烂…烂片吧…？,2,2020-12-02 23:20:10,1,1
唐人街探案3,白小白,为什么评分这么低？影评也是一边倒的黑？,5,2021-02-25 23:02:49,51,1
这个杀手不太冷静,paradise,我为什么没有买隔壁放映厅的票？！,1,2022-02-01 11:09:31,143,1
送你一朵小红花,Foxy,一星给对yyqx的光环 催泪 可还是挺烂的,2,2020-12-31 22:09:01,70,1
唐人街探案3,Lies and lies,唐探宇宙！！！！！！！！！！！！！！的坍缩,1,2021-02-12 15:34:26,200,1
独行月球,看電影的人,笑不出来.gif,2,2022-07-29 11:05:42,6732,1
花木兰,十万嬉皮。,挺好看的 合家欢电影 我永远喜欢迪士尼！刘亦菲好美好帅,5,2020-09-05 10:40:13,15,1
一周的朋友,至死方休,对不起，脸太养眼了,4,2022-06-20 12:57:12,3,1
送你一朵小红花,米饭是甜的！,为了千玺看的，可是并不好看，女主演技好差劲,1,2020-12-31 20:55:49,429,1
