movie_name,id,short_comment,score,comment_time,votes,Fake
这个杀手不太冷静,安短,没想到 ， 这是 唯一 一部 尊严 春节 档 的 电影 。,4,2022-02-25 23:52:02,0,1
这个杀手不太冷静,安短,没想到 ， 这是 电影 一部 尊重 春节 档 的 唯一 。,4,2022-02-25 23:52:02,0,1
这个杀手不太冷静,安短,没想到 ， 这是 唯一 一部 尊重 春节 档 的 电影 。,4,2022-02-25 23:52:02,0,1
这个杀手不太冷静,安短,没想到 ， 这是 唯一 一部 尊重 春节 档 的 电影 。,4,2022-02-25 23:52:02,0,1
独行月球,宣纸画纸习题纸,能 能 给 负分 吗 卧槽 浪费 我 时间,1,2022-07-29 13:50:48,1206,1
独行月球,宣纸画纸习题纸,能 给 负分 吗 卧槽 节约 我 时间,1,2022-07-29 13:50:48,1206,1
独行月球,宣纸画纸习题纸,能 给 负分 吗 卧槽 浪费 我 时间,1,2022-07-29 13:50:48,1206,1
独行月球,宣纸画纸习题纸,能 给 负分 吗 卧槽   浪费 我 时间,1,2022-07-29 13:50:48,1206,1
这个杀手不太冷静,无常,太 痛苦 了 大过年 清晨 让 我 如坐针毡,1,2022-02-01 10:27:46,229,1
这个杀手不太冷静,无常,痛苦 了 大过年 一大早 让 我 如坐针毡,1,2022-02-01 10:27:46,229,1
这个杀手不太冷静,无常,太 痛苦 了 让 一大早 大过年 我 如坐针毡,1,2022-02-01 10:27:46,229,1
这个杀手不太冷静,无常,太 痛苦 了   大过年 一大早 让 我 如坐针毡,1,2022-02-01 10:27:46,229,1
唐人街探案3,小药君,要不是 电影院 没 开 空调 一直 冻 我 我能 直接 睡过去,2,2021-02-12 10:42:07,237,1
唐人街探案3,小药君,要不是 电影院 没 开 空调 一直 冷 我 我能 直接 睡过去,2,2021-02-12 10:42:07,237,1
唐人街探案3,小药君,要不是 电影院 没 开 空调 一直 冻 电风扇 我 我能 直接 睡过去,2,2021-02-12 10:42:07,237,1
唐人街探案3,小药君,要不是 电影院 没 开 空调 一直 冻 我   我能 直接 睡过去,2,2021-02-12 10:42:07,237,1
